Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730821595765700608,4.55,-2.6,7.59,-1.01,6.88,-1.77,7.5,-0.08,4.41,-0.64,5.223166541150056,-2.6171315169730667,1.4204331566208515
1730821595865747456,4.6,-2.67,7.68,-1.02,6.8,-1.8,7.45,-0.12,4.35,-0.58,5.230350825128456,-2.5772830483047615,1.4184850193267704
1730821595965684480,4.65,-2.74,7.77,-1.03,6.73,-1.82,7.4,-0.15,4.29,-0.52,5.242662257801927,-2.5474740430753675,1.4224888900026857
1730821596065735680,4.7,-2.81,7.86,-1.04,6.66,-1.85,7.36,-0.18,4.23,-0.46,5.250487356684799,-2.5236553250069016,1.4228370014188745
1730821596165859328,4.74,-2.87,7.95,-1.05,6.58,-1.88,7.31,-0.22,4.17,-0.4,5.250143026049955,-2.481537038066219,1.4209765374476646
1730821596265851136,4.79,-2.94,8.04,-1.06,6.51,-1.9,7.26,-0.25,4.11,-0.33,5.260957822700517,-2.428827716664786,1.4225518666598582
1730821596365736448,4.84,-3.01,8.13,-1.07,6.43,-1.93,7.22,-0.28,4.05,-0.27,5.263877012171708,-2.4126194726193737,1.4216940270312408
1730821596465684480,4.89,-3.08,8.22,-1.08,6.36,-1.96,7.17,-0.31,3.99,-0.21,5.269021345302754,-2.4021551036602977,1.4162415238239212
1730821596565726464,4.94,-3.15,8.3,-1.12,6.29,-1.98,7.14,-0.37,3.91,-0.16,5.282797011343325,-2.3400471498434907,1.4212097414287828
1730821596665611520,4.99,-3.22,8.37,-1.16,6.23,-2.0,7.1,-0.42,3.82,-0.1,5.288405351768641,-2.3067334609919934,1.4259757610497428
1730821596765813248,5.04,-3.3,8.45,-1.19,6.16,-2.02,7.06,-0.48,3.74,-0.05,5.294286132174173,-2.256553675798341,1.4200669241761081
1730821596865729280,5.09,-3.37,8.53,-1.23,6.1,-2.04,7.03,-0.53,3.66,0.01,5.300625036207284,-2.2346063286761972,1.4116447884760086
1730821596965760256,5.14,-3.45,8.6,-1.26,6.03,-2.06,6.99,-0.59,3.58,0.06,5.3063040006473905,-2.2362637969615653,1.4208940723875263
1730821597065746432,5.19,-3.52,8.68,-1.3,5.96,-2.08,6.96,-0.64,3.49,0.12,5.311218013034371,-2.2102003047165026,1.4145992560814262
1730821597165707264,5.24,-3.6,8.76,-1.33,5.9,-2.09,6.92,-0.7,3.41,0.17,5.325369970841395,-2.1500043873629107,1.415195203084186
